please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	oops looks like that reminder is already set
okay no problem __eou__  __eout__  okay allow me a moment __eoa__  _api_todo_set_ __eoa__  is there any other task to be added to your to do list for the day __eoa__  __eoat__  let me think __eou__  clean the tank __eou__  yes there is one __eou__  __eout__  to do reminders _chatform_ __eoa__  you help me with the details here __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  got it i am setting this up for you __eoa__  _api_todo_set_ __eoa__  i hope this will help you do you need any other assistance __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_image_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  reminder to call date date name of person name_of_person time time	_reminder_interim_ __eoa__  reminder can not be set in the past
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
_api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
_api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  thank you	welcome
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
_reminder_notification_ __eoa__  __eoat__  hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  for sure _name_ would you like me to remind you _date_ or some other date
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  for sure _name_ would you like me to remind you _date_ or some other date __eoa__  __eoat__  yes i would also like you to remind me one more thing	_api_call_remind_general_ __eoa__  _blank_
sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  for sure _name_ would you like me to remind you _date_ or some other date __eoa__  __eoat__  yes i would also like you to remind me one more thing __eou__  __eout__  _api_call_remind_general_ __eoa__  _blank_ __eoa__  __eoat__  i want one more remimder __eou__  __eout__  yes please tell me __eoa__  __eoat__  hey can you set a reminder for me to call someone __eou__  hi i have a meeting coming up can you remind me __eou__  __eout__  call someone _chatform_ __eoa__  meet someone form _chatform_ __eoa__  __eoat__  meeting reminder date date venue venue meeting with meeting_with time time __eou__  __eout__  got it i am scheduling this for you __eoa__  __eoat__  okay	_ask_feedback_
_blank_ __eoa__  __eoat__  i want one more remimder __eou__  __eout__  yes please tell me __eoa__  __eoat__  hey can you set a reminder for me to call someone __eou__  hi i have a meeting coming up can you remind me __eou__  __eout__  call someone _chatform_ __eoa__  meet someone form _chatform_ __eoa__  __eoat__  meeting reminder date date venue venue meeting with meeting_with time time __eou__  __eout__  got it i am scheduling this for you __eoa__  __eoat__  okay __eou__  __eout__  done and done youll get a call at _time_ on mon _date_ __eoa__  hope the above information helps __eoa__  you will get an automated call and a notification on app __eoa__  you are welcome have a great day ahead __eoa__  _ask_feedback_ __eoa__  __eoat__  thank you for the reminder	_name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_
no i want you to call me by another name and not _name_ __eou__  __eout__  may i know by what name you want me to call you __eoa__  __eoat__  tia __eou__  __eout__  okay you can change your name on haptik app __eoa__  __eoat__  okay __eou__  __eout__  let me know if you need any further assistance have a great day ahead __eoa__  __eoat__  can you help to change my name on haptik app __eou__  __eout__  you need to clear the data by visiting app settings by your phone setting menu __eoa__  this will delete all your chats and you will get an option of sign in again __eoa__  you are welcome have a great day ahead __eoa__  __eoat__  thank you for all the reminders _date_	thank you _name_ what time should i remind you at
tia __eou__  __eout__  okay you can change your name on haptik app __eoa__  __eoat__  okay __eou__  __eout__  let me know if you need any further assistance have a great day ahead __eoa__  __eoat__  can you help to change my name on haptik app __eou__  __eout__  you need to clear the data by visiting app settings by your phone setting menu __eoa__  this will delete all your chats and you will get an option of sign in again __eoa__  you are welcome have a great day ahead __eoa__  __eoat__  thank you for all the reminders _date_ __eou__  __eout__  thank you _name_ what time should i remind you at __eoa__  __eoat__  _time_	_reminder_interim_ __eoa__  alright i will remind you with a call at _time_ on mon _date_ have a great day
hey can you remind me to wish someone on their birthday	sure _name_ i just need a few details __eoa__  _chatform_38_
_reminder_notification_ __eoa__  __eoat__  _emoticon_	_blank_
_reminder_notification_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list __eoa__  __eoat__  looking for a guest house hotel for one day at santiniketan _numeral_ heads and all are sr citizen date _date_	definitely _name_ i will set a reminder for you can you please tell me at what time i should remind you
_reminder_notification_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list __eoa__  __eoat__  looking for a guest house hotel for one day at santiniketan _numeral_ heads and all are sr citizen date _date_ __eou__  __eout__  definitely _name_ i will set a reminder for you can you please tell me at what time i should remind you __eoa__  __eoat__  at morning _time_	reminder can not be set in the past
hi want rc	hi _name_ how may i help you
hi _name_ how may i help you __eoa__  __eoat__  want recharge __eou__  __eout__  sure give me a minute __eoa__  may i know your budget __eoa__  __eoat__  _numeral_ __eou__  __eout__  is the network reliance and circle andhra pradesh __eoa__  __eoat__  no __eou__  postpaid gujarat vodafone __eou__  __eout__  okay so do you want to pay your bill __eoa__  __eoat__  yes __eou__  __eout__  is your number _phone_ __eoa__  __eoat__  another number i want to recharge __eou__  __eout__  may i know the number and amount you want to pay __eoa__  __eoat__  _phone_ __eou__  __eout__  do you with to pay rs _numeral_ __eoa__  __eoat__  yes __eou__  __eout__  recharge details mobile number _phone_ operator vodafone circle gujarat amount rs _numeral_ __eoa__  __eoat__  please use my smartwallet to pay for the transaction	we have received your payment of rs _numeral_ your order has been confirmed and you will receive a receipt shortly __eoa__  your bill payment of rs _numeral_ was successful on _phone_ you will get a confirmation from your operator shortly
want recharge __eou__  __eout__  sure give me a minute __eoa__  may i know your budget __eoa__  __eoat__  _numeral_ __eou__  __eout__  is the network reliance and circle andhra pradesh __eoa__  __eoat__  no __eou__  postpaid gujarat vodafone __eou__  __eout__  okay so do you want to pay your bill __eoa__  __eoat__  yes __eou__  __eout__  is your number _phone_ __eoa__  __eoat__  another number i want to recharge __eou__  __eout__  may i know the number and amount you want to pay __eoa__  __eoat__  _phone_ __eou__  __eout__  do you with to pay rs _numeral_ __eoa__  __eoat__  yes __eou__  __eout__  recharge details mobile number _phone_ operator vodafone circle gujarat amount rs _numeral_ __eoa__  __eoat__  please use my smartwallet to pay for the transaction	we have received your payment of rs _numeral_ your order has been confirmed and you will receive a receipt shortly __eoa__  your bill payment of rs _numeral_ was successful on _phone_ you will get a confirmation from your operator shortly
sure give me a minute __eoa__  may i know your budget __eoa__  __eoat__  _numeral_ __eou__  __eout__  is the network reliance and circle andhra pradesh __eoa__  __eoat__  no __eou__  postpaid gujarat vodafone __eou__  __eout__  okay so do you want to pay your bill __eoa__  __eoat__  yes __eou__  __eout__  is your number _phone_ __eoa__  __eoat__  another number i want to recharge __eou__  __eout__  may i know the number and amount you want to pay __eoa__  __eoat__  _phone_ __eou__  __eout__  do you with to pay rs _numeral_ __eoa__  __eoat__  yes __eou__  __eout__  recharge details mobile number _phone_ operator vodafone circle gujarat amount rs _numeral_ __eoa__  __eoat__  please use my smartwallet to pay for the transaction	we have received your payment of rs _numeral_ your order has been confirmed and you will receive a receipt shortly __eoa__  your bill payment of rs _numeral_ was successful on _phone_ you will get a confirmation from your operator shortly
_reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  reminder to call date date name of person name_of_person time time	_reminder_interim_ __eoa__  a simple hi could lead to a million things ill remind you about this on _time_ on tue _date_ have a great day __eoa__  welcome
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  reminder to call date date name of person name_of_person time time __eou__  __eout__  _reminder_interim_ __eoa__  a simple hi could lead to a million things ill remind you about this on _time_ on tue _date_ have a great day __eoa__  welcome __eoa__  __eoat__  hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  reminder to call date date name of person name_of_person time time __eou__  __eout__  _reminder_interim_ __eoa__  a simple hi could lead to a million things ill remind you about this on _time_ on tue _date_ have a great day __eoa__  welcome __eoa__  __eoat__  hey can you send me regular reminders to drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _reminder_interim_
_reminder_notification_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  _reminder_notification_ __eoa__  __eoat__  _emoticon_	_blank_
_reminder_notification_ __eoa__  __eoat__  please cancle all my reminder	_name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_
remind me to check memo	_name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_
hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you send me regular reminders to drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _blank_
hi i have a meeting coming up can you remind me	definitely _name_ i just need a few details __eoa__  _chatform_56_
hey can you remind me to wish someone on their birthday	sure _name_ i just need a few details __eoa__  _chatform_38_
hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you send me regular reminders to drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
hi	hi _name_
hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
_reminder_notification_ __eoa__  __eoat__  _emoticon_	_blank_
_reminder_notification_ __eoa__  __eoat__  _emoticon_ __eou__  __eout__  _blank_ __eoa__  __eoat__  _emoticon_	sure _name_ please give me a few details and i will set the reminder for you __eoa__  _chatform_101_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time	_reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  welcome
hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time __eou__  __eout__  _reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  welcome __eoa__  __eoat__  goodnight	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
_reminder_notification_ __eoa__  __eoat__  thank you	you are welcome _name_
hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you send me regular reminders to drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you send me regular reminders to drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hi i have a meeting coming up can you remind me	definitely _name_ i just need a few details __eoa__  _chatform_56_
hi i have a meeting coming up can you remind me __eou__  __eout__  definitely _name_ i just need a few details __eoa__  _chatform_56_ __eoa__  __eoat__  meeting reminder date date venue venue meeting with meeting_with time time	_reminder_interim_ __eoa__  _api_call_remind_meeting_ __eoa__  _blank_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
_reminder_notification_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list __eoa__  __eoat__  good morning	good morning how may i help you
_reminder_notification_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list __eoa__  __eoat__  good morning __eou__  __eout__  good morning how may i help you __eoa__  __eoat__  no thank you __eou__  __eout__  alright get back to me if you need any assistance have a pleasant day __eoa__  __eoat__  _emoticon_ __eou__  __eout__  _reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
_blank_ __eou__  __eout__  i can set the reminder for you __eoa__  feel free to ask a query here __eoa__  __eoat__  no please i want to talk with _name_ only __eou__  __eout__  let me check __eoa__  __eoat__  _emoticon_ __eou__  please sir __eou__  __eout__  _name_ is not in _date_ please tell me your query i will be happy to assist you __eoa__  __eoat__  she is online in power bank sale __eou__  __eout__  power bank sale is archieved now __eoa__  __eoat__  okay np thank you __eou__  __eout__  you are welcome bye __eoa__  __eoat__  bye __eou__  __eout__  _reminder_notification_ __eoa__  __eoat__  _emoticon_ __eou__  make a call to remind me to drink more water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
no please i want to talk with _name_ only __eou__  __eout__  let me check __eoa__  __eoat__  _emoticon_ __eou__  please sir __eou__  __eout__  _name_ is not in _date_ please tell me your query i will be happy to assist you __eoa__  __eoat__  she is online in power bank sale __eou__  __eout__  power bank sale is archieved now __eoa__  __eoat__  okay np thank you __eou__  __eout__  you are welcome bye __eoa__  __eoat__  bye __eou__  __eout__  _reminder_notification_ __eoa__  __eoat__  _emoticon_ __eou__  make a call to remind me to drink more water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  sure _name_ i just need a few details to get this done
okay np __eou__  __eout__  thank you for understanding __eoa__  __eoat__  thank you to you __eou__  __eout__  my pleasure __eoa__  __eoat__  _emoticon_ __eou__  i dont have a drinking problem __eou__  __eout__  no _name_ we were just trying to remind you to drink water in a bit humorous way __eoa__  __eoat__  okay no problem __eou__  __eout__  thank you for understanding __eoa__  bye take care __eoa__  __eoat__  bye __eou__  __eout__  bye __eoa__  __eoat__  have a nice day __eou__  __eout__  thank you same to you __eoa__  __eoat__  _blank_ __eou__  __eout__  _reminder_notification_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hey _name_	hi _name_ how may i help you
thank you to you __eou__  __eout__  my pleasure __eoa__  __eoat__  _emoticon_ __eou__  i dont have a drinking problem __eou__  __eout__  no _name_ we were just trying to remind you to drink water in a bit humorous way __eoa__  __eoat__  okay no problem __eou__  __eout__  thank you for understanding __eoa__  bye take care __eoa__  __eoat__  bye __eou__  __eout__  bye __eoa__  __eoat__  have a nice day __eou__  __eout__  thank you same to you __eoa__  __eoat__  _blank_ __eou__  __eout__  _reminder_notification_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hey _name_ __eou__  __eout__  hi _name_ how may i help you __eoa__  __eoat__  how are you	im doing great
_emoticon_ __eou__  i dont have a drinking problem __eou__  __eout__  no _name_ we were just trying to remind you to drink water in a bit humorous way __eoa__  __eoat__  okay no problem __eou__  __eout__  thank you for understanding __eoa__  bye take care __eoa__  __eoat__  bye __eou__  __eout__  bye __eoa__  __eoat__  have a nice day __eou__  __eout__  thank you same to you __eoa__  __eoat__  _blank_ __eou__  __eout__  _reminder_notification_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hey _name_ __eou__  __eout__  hi _name_ how may i help you __eoa__  __eoat__  how are you __eou__  __eout__  im doing great __eoa__  __eoat__  good	have a wonderful day ahead
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  oops looks like that reminder is already set
_reminder_notification_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey remind me to go for registrtn for my sem	_name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_
hey remind me to go for registrtn for my sem __eou__  __eout__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  set a reminder date date time time	_reminder_interim_
_reminder_notification_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
hi	hi _name_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  _emoticon_	_blank_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
hi i have a meeting coming up can you remind me	definitely _name_ i just need a few details __eoa__  _chatform_56_
_reminder_notification_ __eoa__  __eoat__  please cancel my _date_ sechudule of waking up at _time_ __eou__  __eout__  i have canceled all your _time_ wake up reminders __eoa__  let me know if you need any further assistance have a great day __eoa__  __eoat__  _date_ please remind about court in the morning _time_	_reminder_interim_ __eoa__  reminder can not be set in the past
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  yes sure	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  yes sure __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
_blank_ __eoa__  __eoat__  yes sure __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  you are most welcome let me know if you need any help have a great day ahead __eoa__  __eoat__  can uh make me a wake up cl __eou__  __eout__  wake up call _chatform_ __eoa__  __eoat__  wake up call time time __eou__  always __eou__  __eout__  alright i am scheduling wake up reminder for _date_ __eoa__  __eoat__  thank you __eou__  hi could you remind me to take my medicines __eou__  sry __eou__  __eout__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  no problem let me know if you need any help have a great day ahead __eoa__  __eoat__  i didnt send tat __eou__  okay sure	_ask_feedback_
yes sure __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  you are most welcome let me know if you need any help have a great day ahead __eoa__  __eoat__  can uh make me a wake up cl __eou__  __eout__  wake up call _chatform_ __eoa__  __eoat__  wake up call time time __eou__  always __eou__  __eout__  alright i am scheduling wake up reminder for _date_ __eoa__  __eoat__  thank you __eou__  hi could you remind me to take my medicines __eou__  sry __eou__  __eout__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  no problem let me know if you need any help have a great day ahead __eoa__  __eoat__  i didnt send tat __eou__  okay sure	_ask_feedback_
sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  you are most welcome let me know if you need any help have a great day ahead __eoa__  __eoat__  can uh make me a wake up cl __eou__  __eout__  wake up call _chatform_ __eoa__  __eoat__  wake up call time time __eou__  always __eou__  __eout__  alright i am scheduling wake up reminder for _date_ __eoa__  __eoat__  thank you __eou__  hi could you remind me to take my medicines __eou__  sry __eou__  __eout__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  no problem let me know if you need any help have a great day ahead __eoa__  __eoat__  i didnt send tat __eou__  okay sure	_ask_feedback_
_chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  you are most welcome let me know if you need any help have a great day ahead __eoa__  __eoat__  can uh make me a wake up cl __eou__  __eout__  wake up call _chatform_ __eoa__  __eoat__  wake up call time time __eou__  always __eou__  __eout__  alright i am scheduling wake up reminder for _date_ __eoa__  __eoat__  thank you __eou__  hi could you remind me to take my medicines __eou__  sry __eou__  __eout__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  no problem let me know if you need any help have a great day ahead __eoa__  __eoat__  i didnt send tat __eou__  okay sure	_ask_feedback_
reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  you are most welcome let me know if you need any help have a great day ahead __eoa__  __eoat__  can uh make me a wake up cl __eou__  __eout__  wake up call _chatform_ __eoa__  __eoat__  wake up call time time __eou__  always __eou__  __eout__  alright i am scheduling wake up reminder for _date_ __eoa__  __eoat__  thank you __eou__  hi could you remind me to take my medicines __eou__  sry __eou__  __eout__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  no problem let me know if you need any help have a great day ahead __eoa__  __eoat__  i didnt send tat __eou__  okay sure	_ask_feedback_
